650.0,45.0,0.6
649.944912645,44.9467745987,0.607
649.889814647,44.8935602159,0.614
649.834706007,44.8403568537,0.621
649.779586727,44.7871645144,0.628
649.724456809,44.7339831999,0.635
649.669316257,44.6808129126,0.642
649.614165072,44.6276536544,0.649
649.559003256,44.5745054275,0.656
649.503830811,44.521368234,0.663
649.44864774,44.468242076,0.67
649.393454045,44.4151269558,0.677
649.338249728,44.3620228753,0.684
649.283034791,44.3089298368,0.691
649.227809237,44.2558478423,0.698
649.172573067,44.202776894,0.705
649.117326285,44.149716994,0.712
649.062068891,44.0966681444,0.719
649.006800889,44.0436303474,0.726
648.95152228,43.990603605,0.733
648.896233067,43.9375879194,0.74
648.840933252,43.8845832927,0.747
648.785622838,43.831589727,0.754
648.730301825,43.7786072245,0.761
648.674970218,43.7256357872,0.768
648.619628017,43.6726754173,0.775
648.564275225,43.6197261169,0.782
648.508911844,43.5667878881,0.789
648.453537877,43.5138607331,0.796
648.398153326,43.4609446539,0.803
648.342758192,43.4080396526,0.81
648.287352479,43.3551457315,0.817
648.231936187,43.3022628926,0.824
648.176509321,43.2493911379,0.831
648.121071881,43.1965304697,0.838
648.06562387,43.1436808901,0.845
648.01016529,43.0908424011,0.852
647.954696144,43.0380150049,0.859
647.899216433,42.9851987036,0.866
647.843726161,42.9323934992,0.873
647.788225328,42.879599394,0.88
647.732713937,42.82681639,0.887
647.677191991,42.7740444893,0.894
647.621659492,42.7212836941,0.901
647.566116442,42.6685340065,0.908
647.510562843,42.6157954285,0.915
647.454998697,42.5630679622,0.922
647.399424007,42.5103516099,0.929
647.343838775,42.4576463735,0.936
647.288243003,42.4049522553,0.943
647.232636693,42.3522692572,0.95
647.177019848,42.2995973815,0.957
647.121392469,42.2469366302,0.964
647.065754559,42.1942870054,0.971
647.010106121,42.1416485093,0.978
646.954447156,42.0890211439,0.985
646.898777666,42.0364049113,0.992
646.843097655,41.9837998137,0.999
646.787407123,41.9312058532,1.006
646.731706074,41.8786230318,1.013
646.67599451,41.8260513517,1.02
646.620272432,41.7734908149,1.027
646.564539843,41.7209414236,1.034
646.508796745,41.6684031799,1.041
646.453043141,41.6158760858,1.048
646.397279033,41.5633601435,1.055
646.341504422,41.5108553551,1.062
646.285719312,41.4583617227,1.069
646.229923704,41.4058792483,1.076
646.174117601,41.3534079341,1.083
646.118301004,41.3009477822,1.09
646.062473917,41.2484987946,1.097
646.006636341,41.1960609735,1.104
645.950788278,41.143634321,1.111
645.894929732,41.0912188391,1.118
645.839060703,41.03881453,1.125
645.783181195,40.9864213957,1.132
645.727291209,40.9340394384,1.139
645.671390748,40.8816686601,1.146
645.615479813,40.829309063,1.153
645.559558408,40.7769606491,1.16
645.503626535,40.7246234205,1.167
645.447684195,40.6722973794,1.174
645.391731391,40.6199825278,1.181
645.335768125,40.5676788678,1.188
645.279794399,40.5153864014,1.195
645.223810216,40.4631051309,1.202
645.167815578,40.4108350582,1.209
645.111810487,40.3585761856,1.216
645.055794946,40.306328515,1.223
644.999768956,40.2540920485,1.23
644.94373252,40.2018667883,1.237
644.88768564,40.1496527364,1.244
644.831628318,40.0974498949,1.251
644.775560557,40.045258266,1.258
644.719482358,39.9930778516,1.265
644.663393725,39.9409086539,1.272
644.607294659,39.888750675,1.279
644.551185162,39.836603917,1.286
644.495065237,39.7844683819,1.293
644.438934887,39.7323440718,1.3
644.382794112,39.6802309888,1.307
644.326642916,39.628129135,1.314
644.270481301,39.5760385125,1.321
644.214309269,39.5239591234,1.328
644.158126822,39.4718909697,1.335
644.101933962,39.4198340536,1.342
644.045730692,39.367788377,1.349
643.989517014,39.3157539422,1.356
643.933292931,39.2637307511,1.363
643.877058444,39.2117188059,1.37
643.820813556,39.1597181087,1.377
643.764558268,39.1077286614,1.384
643.708292584,39.0557504663,1.391
643.652016505,39.0037835253,1.398
643.595730035,38.9518278406,1.405
643.539433174,38.8998834142,1.412
643.483125925,38.8479502482,1.419
643.426808291,38.7960283447,1.426
643.370480273,38.7441177058,1.433
643.314141875,38.6922183335,1.44
643.257793098,38.6403302299,1.447
643.201433944,38.5884533971,1.454
643.145064416,38.5365878372,1.461
643.088684516,38.4847335523,1.468
643.032294247,38.4328905443,1.475
642.97589361,38.3810588155,1.482
642.919482607,38.3292383678,1.489
642.863061242,38.2774292033,1.496
642.806629516,38.2256313242,1.503
642.750187432,38.1738447324,1.51
642.693734991,38.1220694301,1.517
642.637272197,38.0703054193,1.524
642.58079905,38.0185527021,1.531
642.524315555,37.9668112806,1.538
642.467821712,37.9150811568,1.545
642.411317524,37.8633623328,1.552
642.354802994,37.8116548107,1.559
642.298278123,37.7599585925,1.566
642.241742914,37.7082736803,1.573
642.18519737,37.6566000762,1.58
642.128641491,37.6049377823,1.587
642.072075282,37.5532868005,1.594
642.015498743,37.5016471331,1.601
641.958911878,37.4500187819,1.608
641.902314688,37.3984017492,1.615
641.845707176,37.3467960369,1.622
641.789089343,37.2952016472,1.629
641.732461193,37.2436185821,1.636
641.675822728,37.1920468436,1.643
641.619173949,37.1404864339,1.65
641.56251486,37.088937355,1.657
641.505845461,37.0373996089,1.664
641.449165756,36.9858731977,1.671
641.392475748,36.9343581235,1.678
641.335775437,36.8828543883,1.685
641.279064826,36.8313619942,1.692
641.222343919,36.7798809432,1.699
641.165612716,36.7284112375,1.706
641.10887122,36.676952879,1.713
641.052119434,36.6255058699,1.72
640.99535736,36.5740702122,1.727
640.938584999,36.5226459078,1.734
640.881802355,36.471232959,1.741
640.825009429,36.4198313678,1.748
640.768206225,36.3684411362,1.755
640.711392743,36.3170622662,1.762
640.654568987,36.26569476,1.769
640.597734958,36.2143386195,1.776
640.540890659,36.1629938469,1.783
640.484036093,36.1116604441,1.79
640.42717126,36.0603384133,1.797
640.370296165,36.0090277565,1.804
640.313410809,35.9577284757,1.811
640.256515194,35.9064405731,1.818
640.199609322,35.8551640506,1.825
640.142693196,35.8038989102,1.832
640.085766819,35.7526451542,1.839
640.028830191,35.7014027844,1.846
639.971883317,35.650171803,1.853
639.914926197,35.598952212,1.86
639.857958835,35.5477440134,1.867
639.800981232,35.4965472093,1.874
639.743993391,35.4453618018,1.881
639.686995314,35.3941877929,1.888
639.629987003,35.3430251846,1.895
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
639.572968461,35.2918739789,1.9
